苛化度苛化作用苛化率	ChemEntity+++苛化度苛化作用苛化率
嵌入性	ChemEntity+++嵌入性
埋入性	ChemEntity+++埋入性
斜式堰板斜网冲刷塔	ChemEntity+++斜式堰板斜网冲刷塔
结合水斜网成形器	ChemEntity+++结合水斜网成形器
不透气性	ChemEntity+++不透气性
倾斜螺旋浓缩机	ChemEntity+++倾斜螺旋浓缩机
连二硫酸盐	ChemEntity+++连二硫酸盐
滞后现象	ChemEntity+++滞后现象
滞后现象亚硫酸氢盐	ChemEntity+++滞后现象亚硫酸氢盐
穴	ChemEntity+++穴
成穴作用	ChemEntity+++成穴作用
标示装置指示值指示器	ChemEntity+++标示装置指示值指示器
间接加温	ChemEntity+++间接加温
单根纤维单电机传动	ChemEntity+++单根纤维单电机传动
诱导通风	ChemEntity+++诱导通风
低质材种	ChemEntity+++低质材种
锥形除渣器渗滤	ChemEntity+++锥形除渣器渗滤
渗入无限回流	ChemEntity+++渗入无限回流
全回流	ChemEntity+++全回流
进入液流	ChemEntity+++进入液流
信息信息处理	ChemEntity+++信息信息处理
酰亚胺	ChemEntity+++酰亚胺
斜网纸机	ChemEntity+++斜网纸机
间接染料红外检测器	ChemEntity+++间接染料红外检测器
红外加热器	ChemEntity+++红外加热器
着墨性能	ChemEntity+++着墨性能
无机酸中间压光辊	ChemEntity+++无机酸中间压光辊
阴文水印中间产物	ChemEntity+++阴文水印中间产物
中间压光辊	ChemEntity+++中间压光辊
混合浆箱	ChemEntity+++混合浆箱
微胞间的	ChemEntity+++微胞间的
光泽计累积分布曲线	ChemEntity+++光泽计累积分布曲线
油墨转移输入数据	ChemEntity+++油墨转移输入数据
输入输出系统	ChemEntity+++输入输出系统
累积重量分布曲线	ChemEntity+++累积重量分布曲线
锭	ChemEntity+++锭
块	ChemEntity+++块
拼料综合工厂着墨系统	ChemEntity+++拼料综合工厂着墨系统
插页纸	ChemEntity+++插页纸
积分间歇式纸板机	ChemEntity+++积分间歇式纸板机
积分仪	ChemEntity+++积分仪
进口间歇装料	ChemEntity+++进口间歇装料
纸单位	ChemEntity+++纸单位
每刀张电流强度	ChemEntity+++每刀张电流强度
厂内处理焙烧强度	ChemEntity+++厂内处理焙烧强度
燃烧强度	ChemEntity+++燃烧强度
进浆堰板	ChemEntity+++进浆堰板
打浆初期进口阀门	ChemEntity+++打浆初期进口阀门
间歇式磨木机	ChemEntity+++间歇式磨木机
检验初期撕裂强度	ChemEntity+++检验初期撕裂强度
居间生长	ChemEntity+++居间生长
机上	ChemEntity+++机上
细胞间隙	ChemEntity+++细胞间隙
分子间的安装喷射	ChemEntity+++分子间的安装喷射
喷注胞间层分子重排	ChemEntity+++喷注胞间层分子重排
联机裁切装置	ChemEntity+++联机裁切装置
指导书	ChemEntity+++指导书
指令喷射冷凝器	ChemEntity+++指令喷射冷凝器
胞间物质	ChemEntity+++胞间物质
内部结合力	ChemEntity+++内部结合力
仪表喷射泵	ChemEntity+++仪表喷射泵
联机定量控制装置	ChemEntity+++联机定量控制装置
内部纤维化	ChemEntity+++内部纤维化
内部帚化	ChemEntity+++内部帚化
注射器界面	ChemEntity+++注射器界面
绝缘电线喷射循环	ChemEntity+++绝缘电线喷射循环
油墨干扰	ChemEntity+++油墨干扰
里层	ChemEntity+++里层
感应断续器	ChemEntity+++感应断续器
间隙细胞间间隙距离	ChemEntity+++间隙细胞间间隙距离
加固杨克烘缸联锁电路	ChemEntity+++加固杨克烘缸联锁电路
互相渗透作用	ChemEntity+++互相渗透作用
轴颈离子键各向同性	ChemEntity+++轴颈离子键各向同性
喷射涂布装置	ChemEntity+++喷射涂布装置
各向同性现象	ChemEntity+++各向同性现象
喷射击中点	ChemEntity+++喷射击中点
喷嘴式堰板	ChemEntity+++喷嘴式堰板
次生壁内层绝缘性能	ChemEntity+++次生壁内层绝缘性能
绝热性能内皮绝热纸板	ChemEntity+++绝热性能内皮绝热纸板
隔音纸板里网	ChemEntity+++隔音纸板里网
衬网	ChemEntity+++衬网
阴影痕	ChemEntity+++阴影痕
离子排斥法	ChemEntity+++离子排斥法
等温吸着	ChemEntity+++等温吸着
重物捕集器	ChemEntity+++重物捕集器
清仓	ChemEntity+++清仓
库存量	ChemEntity+++库存量
库存量控制照射	ChemEntity+++库存量控制照射
分子内部的	ChemEntity+++分子内部的
内在压缩强度	ChemEntity+++内在压缩强度
千斤顶千斤顶	ChemEntity+++千斤顶千斤顶
卡片用纸卡片纸芯层	ChemEntity+++卡片用纸卡片纸芯层
卡片用纸	ChemEntity+++卡片用纸
库存品	ChemEntity+++库存品
轻摇	ChemEntity+++轻摇
摇动码纸	ChemEntity+++摇动码纸
摆动码纸器	ChemEntity+++摆动码纸器
摆齐	ChemEntity+++摆齐
合股	ChemEntity+++合股
幼龄材	ChemEntity+++幼龄材
中心木质部不可逆反应	ChemEntity+++中心木质部不可逆反应
蓝光扩散反射	ChemEntity+++蓝光扩散反射
系数即	ChemEntity+++系数即
同步性	ChemEntity+++同步性
值测浆料蒸煮硬度	ChemEntity+++值测浆料蒸煮硬度
涂料分散器	ChemEntity+++涂料分散器
刺梧桐树胶钾盐	ChemEntity+++刺梧桐树胶钾盐
卡里浓度调节器	ChemEntity+++卡里浓度调节器
热辐射计叠网成形器	ChemEntity+++热辐射计叠网成形器
反压榨	ChemEntity+++反压榨
逆化层	ChemEntity+++逆化层
电流换向器	ChemEntity+++电流换向器
反相器	ChemEntity+++反相器
冻胶	ChemEntity+++冻胶
表面冷却器	ChemEntity+++表面冷却器
制酸高塔	ChemEntity+++制酸高塔
双高塔制酸系统	ChemEntity+++双高塔制酸系统
实验室用六辊磨浆机	ChemEntity+++实验室用六辊磨浆机
振动除节机振动筛	ChemEntity+++振动除节机振动筛
侧压式浓缩机	ChemEntity+++侧压式浓缩机
异构化等压线异丙醇	ChemEntity+++异构化等压线异丙醇
异糖	ChemEntity+++异糖
炉	ChemEntity+++炉
沥青防水纸板	ChemEntity+++沥青防水纸板
瓦楞纸箱压缩	ChemEntity+++瓦楞纸箱压缩
炉气洗涤器	ChemEntity+++炉气洗涤器
开尔文	ChemEntity+++开尔文
调和器	ChemEntity+++调和器
洋麻	ChemEntity+++洋麻
流速计	ChemEntity+++流速计
运动的	ChemEntity+++运动的
角质物体	ChemEntity+++角质物体
缝动能	ChemEntity+++缝动能
动力学性质	ChemEntity+++动力学性质
运动性质	ChemEntity+++运动性质
乙酮糖	ChemEntity+++乙酮糖
酮酮酸	ChemEntity+++酮酮酸
酮基联接	ChemEntity+++酮基联接
酮式糖酮磺酸	ChemEntity+++酮式糖酮磺酸
锅	ChemEntity+++锅
键	ChemEntity+++键
关键键控穿孔机键盘纸	ChemEntity+++关键键控穿孔机键盘纸
转印盘纸	ChemEntity+++转印盘纸
飞刀辊	ChemEntity+++飞刀辊
冲网喷水管码纸	ChemEntity+++冲网喷水管码纸
振动除节机	ChemEntity+++振动除节机
除节机	ChemEntity+++除节机
光散射方程式	ChemEntity+++光散射方程式
可控	ChemEntity+++可控
中高辊	ChemEntity+++中高辊
浮泳辊	ChemEntity+++浮泳辊
碱性熟化阳离子树脂	ChemEntity+++碱性熟化阳离子树脂
卡米尔浆板机	ChemEntity+++卡米尔浆板机
吸墨性能	ChemEntity+++吸墨性能
木棉树	ChemEntity+++木棉树
真漆	ChemEntity+++真漆
乳糖醇内酯异构现象	ChemEntity+++乳糖醇内酯异构现象
左旋同分异构体	ChemEntity+++左旋同分异构体
粗筛工	ChemEntity+++粗筛工
碾磨机	ChemEntity+++碾磨机
硫酸盐浆	ChemEntity+++硫酸盐浆
牛皮浆酮基湿润辊	ChemEntity+++牛皮浆酮基湿润辊
抗油脂值	ChemEntity+++抗油脂值
抗油脂性能试验	ChemEntity+++抗油脂性能试验
硫酸木素	ChemEntity+++硫酸木素
贴签	ChemEntity+++贴签
贴签机	ChemEntity+++贴签机
活化氢离子	ChemEntity+++活化氢离子
薄纸	ChemEntity+++薄纸
胞间层	ChemEntity+++胞间层
层状胶束	ChemEntity+++层状胶束
层状结构	ChemEntity+++层状结构
层压板层流	ChemEntity+++层压板层流
键槽	ChemEntity+++键槽
碎矿机	ChemEntity+++碎矿机
码纸器	ChemEntity+++码纸器
蒸煮锅	ChemEntity+++蒸煮锅
层压层压机	ChemEntity+++层压层压机
高频振动	ChemEntity+++高频振动
硫酸盐浆漂白	ChemEntity+++硫酸盐浆漂白
牛皮瓦楞纸芯层	ChemEntity+++牛皮瓦楞纸芯层
皮纸机	ChemEntity+++皮纸机
引导端	ChemEntity+++引导端
领纸纸条导辊	ChemEntity+++领纸纸条导辊
导纸辊	ChemEntity+++导纸辊
领纸纸条	ChemEntity+++领纸纸条
纸	ChemEntity+++纸
活页	ChemEntity+++活页
晶格配位数	ChemEntity+++晶格配位数
点阵配位数	ChemEntity+++点阵配位数
防漏容器	ChemEntity+++防漏容器
圆网洗涤机组	ChemEntity+++圆网洗涤机组
月桂防漏闸门	ChemEntity+++月桂防漏闸门
陆上贮木场	ChemEntity+++陆上贮木场
玄武岩刀辊	ChemEntity+++玄武岩刀辊
码纸台左手机	ChemEntity+++码纸台左手机
湿浆板	ChemEntity+++湿浆板
层	ChemEntity+++层
左旋螺丝湿抄机枝桠材	ChemEntity+++左旋螺丝湿抄机枝桠材
码纸机废料	ChemEntity+++码纸机废料
剩余物	ChemEntity+++剩余物
纸板压榨	ChemEntity+++纸板压榨
选纸工	ChemEntity+++选纸工
码纸工	ChemEntity+++码纸工
湿抄工	ChemEntity+++湿抄工
柠檬草	ChemEntity+++柠檬草
平面布置	ChemEntity+++平面布置
长度分级	ChemEntity+++长度分级
南欧黑松转印台纸	ChemEntity+++南欧黑松转印台纸
脱盐致死剂量	ChemEntity+++脱盐致死剂量
英国纸张尺寸	ChemEntity+++英国纸张尺寸
明信片	ChemEntity+++明信片
浸析槽辊式涂布	ChemEntity+++浸析槽辊式涂布
凸版印刷用油墨	ChemEntity+++凸版印刷用油墨
碎纸机碎纸机槽	ChemEntity+++碎纸机碎纸机槽
旋刀	ChemEntity+++旋刀
潜热潜像	ChemEntity+++潜热潜像
潜影惰性溶剂	ChemEntity+++潜影惰性溶剂
旋床	ChemEntity+++旋床
杠杆重锤	ChemEntity+++杠杆重锤
杠杆加重	ChemEntity+++杠杆加重
淘选分析	ChemEntity+++淘选分析
韧皮部韧型纤维	ChemEntity+++韧皮部韧型纤维
领纸	ChemEntity+++领纸
引纸	ChemEntity+++引纸
领纸毛毯	ChemEntity+++领纸毛毯
引纸毛毯	ChemEntity+++引纸毛毯
盖子损纸高频疏解机	ChemEntity+++盖子损纸高频疏解机
举起	ChemEntity+++举起
升液器	ChemEntity+++升液器
层压塑料制品层压状态	ChemEntity+++层压塑料制品层压状态
层压结构	ChemEntity+++层压结构
黑白水印	ChemEntity+++黑白水印
光电流阳性树	ChemEntity+++光电流阳性树
光传导	ChemEntity+++光传导
光透射	ChemEntity+++光透射
前导烘缸石灰储存槽	ChemEntity+++前导烘缸石灰储存槽
石灰消化槽白泥	ChemEntity+++石灰消化槽白泥
木素磺酸盐	ChemEntity+++木素磺酸盐
极限浓度木素磺酸	ChemEntity+++极限浓度木素磺酸
二戊烯零件	ChemEntity+++二戊烯零件
分度盘	ChemEntity+++分度盘
真空浓缩机漂液	ChemEntity+++真空浓缩机漂液
潜伏状态消潜浆池	ChemEntity+++潜伏状态消潜浆池
消潜槽	ChemEntity+++消潜槽
木化植物	ChemEntity+++木化植物
木本植物	ChemEntity+++木本植物
木素碳水化合物复合体	ChemEntity+++木素碳水化合物复合体
木素含量	ChemEntity+++木素含量
木素磺酸盐木素磺酸	ChemEntity+++木素磺酸盐木素磺酸
凸版印刷	ChemEntity+++凸版印刷
无色染料	ChemEntity+++无色染料
液面	ChemEntity+++液面
提升货车	ChemEntity+++提升货车
级位	ChemEntity+++级位
举起液面控制	ChemEntity+++举起液面控制
水位控制	ChemEntity+++水位控制
吊车升举容量	ChemEntity+++吊车升举容量
提升装置	ChemEntity+++提升装置
挂面纸浆	ChemEntity+++挂面纸浆
药液管道	ChemEntity+++药液管道
衬层	ChemEntity+++衬层
挂面层拔液	ChemEntity+++挂面层拔液
滑环液体分离	ChemEntity+++滑环液体分离
键合液体分离器	ChemEntity+++键合液体分离器
分液器键合热	ChemEntity+++分液器键合热
结合热药液浓度	ChemEntity+++结合热药液浓度
联结基药液贮槽	ChemEntity+++联结基药液贮槽
液比油毡衬里	ChemEntity+++液比油毡衬里
油布	ChemEntity+++油布
醚陀僧	ChemEntity+++醚陀僧
划线机	ChemEntity+++划线机
掉毛	ChemEntity+++掉毛
与甘油灰泥	ChemEntity+++与甘油灰泥
棉短绒	ChemEntity+++棉短绒
棉绒剔除机	ChemEntity+++棉绒剔除机
唇板	ChemEntity+++唇板
石版印刷纸熔解	ChemEntity+++石版印刷纸熔解
石版印刷纸	ChemEntity+++石版印刷纸
石版印刷术液氯	ChemEntity+++石版印刷术液氯
水分分离除节机	ChemEntity+++水分分离除节机
药液浸透性	ChemEntity+++药液浸透性
液体渗透试验活节	ChemEntity+++液体渗透试验活节
药液浸透性传动辊液相	ChemEntity+++药液浸透性传动辊液相
新鲜蒸汽轻量	ChemEntity+++新鲜蒸汽轻量
低定量轻量木片	ChemEntity+++低定量轻量木片
轻质木材	ChemEntity+++轻质木材
易燃木轻木油	ChemEntity+++易燃木轻木油
气馏松节油	ChemEntity+++气馏松节油
木质化负载伸长率	ChemEntity+++木质化负载伸长率
装料器	ChemEntity+++装料器
加压	ChemEntity+++加压
装入	ChemEntity+++装入
局部水印定位公差	ChemEntity+++局部水印定位公差
锁紧螺丝锁紧垫圈窝浆	ChemEntity+++锁紧螺丝锁紧垫圈窝浆
小千松类	ChemEntity+++小千松类
悬杆悬挂干燥	ChemEntity+++悬杆悬挂干燥
补充石灰石灰乳白泥	ChemEntity+++补充石灰石灰乳白泥
石灰渣	ChemEntity+++石灰渣
石灰渣处理	ChemEntity+++石灰渣处理
白泥过滤机	ChemEntity+++白泥过滤机
木筏劈木机贮木场	ChemEntity+++木筏劈木机贮木场
原木场	ChemEntity+++原木场
采运工	ChemEntity+++采运工
记入	ChemEntity+++记入
记录器记录机	ChemEntity+++记录器记录机
逻辑算子	ChemEntity+++逻辑算子
杆材	ChemEntity+++杆材
线性电抗线性整流	ChemEntity+++线性电抗线性整流
线性检波器	ChemEntity+++线性检波器
线性收缩线速线性描述	ChemEntity+++线性收缩线速线性描述
直线扫描	ChemEntity+++直线扫描
记录用格纸	ChemEntity+++记录用格纸
纵向磨木法	ChemEntity+++纵向磨木法
美国长叶松	ChemEntity+++美国长叶松
长管蒸发器	ChemEntity+++长管蒸发器
窥孔外观迎光检查	ChemEntity+++窥孔外观迎光检查
封闭回路	ChemEntity+++封闭回路
药液	ChemEntity+++药液
蒸发车间	ChemEntity+++蒸发车间
生材浸滤	ChemEntity+++生材浸滤
浸提	ChemEntity+++浸提
输入测力传感器	ChemEntity+++输入测力传感器
悬挂干燥器悬挂干燥	ChemEntity+++悬挂干燥器悬挂干燥
圆木	ChemEntity+++圆木
原木原木带锯原木溜槽	ChemEntity+++原木原木带锯原木溜槽
损失用低反射角	ChemEntity+++损失用低反射角
高温低浓磨木法低密度	ChemEntity+++高温低浓磨木法低密度
低浓漂白	ChemEntity+++低浓漂白
低频振荡	ChemEntity+++低频振荡
低压回收锅	ChemEntity+++低压回收锅
低压给料器	ChemEntity+++低压给料器
低压回收低压蒸汽	ChemEntity+++低压回收低压蒸汽
低速锥	ChemEntity+++低速锥
形磨浆机	ChemEntity+++形磨浆机
低速锥形精磨机	ChemEntity+++低速锥形精磨机
机械加工性能	ChemEntity+++机械加工性能
润滑作用机械去皮	ChemEntity+++润滑作用机械去皮
细胞腔	ChemEntity+++细胞腔
浆团	ChemEntity+++浆团
系数机械设计	ChemEntity+++系数机械设计
真空伏辊上方	ChemEntity+++真空伏辊上方
块状单面光	ChemEntity+++块状单面光
光泽纸机光泽	ChemEntity+++光泽纸机光泽
长考德考德材积	ChemEntity+++长考德考德材积
即英寸斜纹铜网	ChemEntity+++即英寸斜纹铜网
机械选料	ChemEntity+++机械选料
机械选纸放料工	ChemEntity+++机械选纸放料工
游离结合	ChemEntity+++游离结合
松结合硫松卷纸卷	ChemEntity+++松结合硫松卷纸卷
砍伐低速	ChemEntity+++砍伐低速
碱液抄纸工	ChemEntity+++碱液抄纸工
正压榨	ChemEntity+++正压榨
疏液胶体	ChemEntity+++疏液胶体
马尼拉麻	ChemEntity+++马尼拉麻
用手操作	ChemEntity+++用手操作
聚甘露糖	ChemEntity+++聚甘露糖
多甘露糖	ChemEntity+++多甘露糖
手控	ChemEntity+++手控
人工控制	ChemEntity+++人工控制
人工装料	ChemEntity+++人工装料
企业联合	ChemEntity+++企业联合
手稿	ChemEntity+++手稿
文件封面用纸	ChemEntity+++文件封面用纸
安全界限	ChemEntity+++安全界限
海岸松	ChemEntity+++海岸松
限度	ChemEntity+++限度
痕	ChemEntity+++痕
印	ChemEntity+++印
下链条	ChemEntity+++下链条
下伏辊下毛毯下唇板	ChemEntity+++下伏辊下毛毯下唇板
氢氧化镁乳液	ChemEntity+++氢氧化镁乳液
补充量	ChemEntity+++补充量
磁电子	ChemEntity+++磁电子
补充药液	ChemEntity+++补充药液
磁性设备	ChemEntity+++磁性设备
高分子化合物制药车间	ChemEntity+++高分子化合物制药车间
装配室磁场	ChemEntity+++装配室磁场
高分子补充水磁性墨水	ChemEntity+++高分子补充水磁性墨水
宏观组织	ChemEntity+++宏观组织
阴螺丝	ChemEntity+++阴螺丝
磁力辊	ChemEntity+++磁力辊
斜管式连续蒸煮器	ChemEntity+++斜管式连续蒸煮器
磁力分离辊	ChemEntity+++磁力分离辊
毛毯热风干燥器	ChemEntity+++毛毯热风干燥器
酐	ChemEntity+++酐
磁力分离器热风干毯辊	ChemEntity+++磁力分离器热风干毯辊
电磁开关	ChemEntity+++电磁开关
库	ChemEntity+++库
木库	ChemEntity+++木库
扩大废杂志浆料	ChemEntity+++扩大废杂志浆料
麦芽糖酸	ChemEntity+++麦芽糖酸
洋红	ChemEntity+++洋红
量度	ChemEntity+++量度
数值大型锥形除渣器	ChemEntity+++数值大型锥形除渣器
管理人	ChemEntity+++管理人
大型泵	ChemEntity+++大型泵
总线	ChemEntity+++总线
主要的	ChemEntity+++主要的
总的	ChemEntity+++总的
平行轴式	ChemEntity+++平行轴式
单电机总轴传动	ChemEntity+++单电机总轴传动
质谱学	ChemEntity+++质谱学
质谱测定法质量传递	ChemEntity+++质谱测定法质量传递
质量传递系数标准螺丝	ChemEntity+++质量传递系数标准螺丝
物质物料平衡	ChemEntity+++物质物料平衡
物料衡算物料消耗	ChemEntity+++物料衡算物料消耗
字型塑料板	ChemEntity+++字型塑料板
磨石用粘合材料	ChemEntity+++磨石用粘合材料
模压制品	ChemEntity+++模压制品
镁氧石灰菱镁矿	ChemEntity+++镁氧石灰菱镁矿
菱镁土	ChemEntity+++菱镁土
碳酸镁氯化镁氢氧化镁	ChemEntity+++碳酸镁氯化镁氢氧化镁
氢氧化镁氧化镁	ChemEntity+++氢氧化镁氧化镁
实验室用	ChemEntity+++实验室用
废液回收系统	ChemEntity+++废液回收系统
平均活度平均热容	ChemEntity+++平均活度平均热容
